00:00.704  blend            | Read blend: "C:\Users\hwash\Documents\MachineMoveForward\assets\blender\graphics-v3\walker-review.blend"
00:00.719  reports          | WARNING Library file, loading empty scene
Blender 5.1.0 (hash adfe2921d5f3 built 2026-03-17 01:37:32)
00:00.719  render           | Rendering single frame
00:00.719  render           | Rendering frame 1
00:00.719  render           | Start rendering: MMF_Cohesive_Walker_V3_Assembled, ViewLayer
00:00.719  render           | Engine: Cycles
00:00.719  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_WalkerLeg_rear-right_Thigh_Geometry.001
Scene switch for render: 'MMF_Cohesive_Walker_V3_Assembled' in file: 'C:\Users\hwash\Documents\MachineMoveForward\assets\blender\graphics-v3\walker-review.blend'
00:00.719  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_WalkerLeg_rear-right_Knee_Geometry.001
00:00.719  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_WalkerLeg_rear-right_Hip_Geometry.001
00:00.719  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_WalkerLeg_rear-right_Foot_Geometry.001
00:00.719  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_Cohesive_Walker_V3_AssembledRim
00:00.719  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_Cohesive_Walker_V3_AssembledFill
00:00.719  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_Cohesive_Walker_V3_AssembledKey
00:00.719  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_Cohesive_Walker_V3_Assembled_Floor
00:00.719  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_Cohesive_Walker_V3_Assembled_MachineServiceMarkings
00:00.719  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_WalkerLeg_rear-left_Thigh_Geometry.001
00:00.719  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_Cohesive_Walker_V3_Assembled_MachineTreadLugs
00:00.719  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_WalkerLeg_rear-left_Shin_Geometry.001
00:00.719  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_WalkerLeg_rear-left_Knee_Geometry.001
00:00.719  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_WalkerLeg_rear-left_Hip_Geometry.001
00:00.719  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_WalkerLeg_rear-left_Foot_Geometry.001
00:00.719  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_Cohesive_Walker_V3_Assembled_.001
00:00.719  render           | Fra: 1 | Mem: 0M | Synchronizing object | MMF_Cohesive_Walker_V3_Assembled_
